영업상태명,지번주소,도로명주소,좌표정보(X),좌표정보(Y)
영업/정상,서울특별시 강서구 공항동 60-31 ,서울특별시 강서구 송정로 37 (공항동),183211.7113,450672.554
영업/정상,서울특별시 강서구 방화동 559-5 ,서울특별시 강서구 양천로14길 16 (방화동),183147.7757,452259.1121
영업/정상,서울특별시 강서구 등촌동 655-27번지 ,서울특별시 강서구 공항대로45길 24 (등촌동),187146.1253,450413.6462
영업/정상,서울특별시 강서구 화곡동 923-3번지 ,서울특별시 강서구 강서로7길 116 (화곡동),185906.806,447437.7689
영업/정상,서울특별시 강서구 내발산동 699-19 (지상 1층),"서울특별시 강서구 강서로47길 25, 1층 (내발산동, 1동)",185332.4742,450055.4159
영업/정상,서울특별시 강서구 등촌동 683-0 인방빌딩 (지상 1층),"서울특별시 강서구 강서로68길 12, 1층 (등촌동, 3동 인방빌딩)",185932.0354,451560.5369
영업/정상,서울특별시 강서구 공항동 1354-6 (지상 1층),"서울특별시 강서구 방화대로6나길 1, 1층 (공항동)",183745.1644,450325.3673
영업/정상,서울특별시 강서구 화곡동 377-3 (지상 1층),"서울특별시 강서구 화곡로20길 58, 1층 (화곡동, 1동)",185498.6512,448411.2636
영업/정상,서울특별시 강서구 방화동 886-0 김포공항역 (지하 1층),"서울특별시 강서구 하늘길 지하 77, 1층 (방화동, 2동 김포공항역)",182524.8238,451438.2509
영업/정상,서울특별시 강서구 내발산동 968-0 발산역점 (지하 1층),"서울특별시 강서구 강서로 272, 지하 1층 (내발산동, 1동 발산역)",,
영업/정상,서울특별시 강서구 화곡동 1075-0 화곡역 (지하 1층),"서울특별시 강서구 화곡로 164, 지하 1층 (화곡동, 1동 화곡역)",185780.3347,448789.4947
영업/정상,서울특별시 강서구 내발산동 723-0 우장산역 (지하 1층),"서울특별시 강서구 강서로 261, 지하 1층 (내발산동, 1동 우장산역)",185430.8962,449668.4226
영업/정상,서울특별시 강서구 화곡동 662-5 까치산역 (지하 1층),"서울특별시 강서구 강서로 지하 54, 까치산역 1층 (화곡동)",186341.6251,447821.6434
영업/정상,서울특별시 강서구 방화동 846-0 개화산역 (지하 1층),"서울특별시 강서구 양천로 22, 지하 1층 (방화동, 2동 개화산역)",182770.9344,452243.0276
영업/정상,서울특별시 강서구 가양동 1480-5번지 이스타빌1차 104호의 일부(지상1층) ,"서울특별시 강서구 양천로57길 10-20, 1층 (가양동, 이스타빌1차 104호의 일부)",186943.8856,451159.5135
영업/정상,서울특별시 강서구 내발산동 653-0 솔레드림 (지상1층) 113~114호,"서울특별시 강서구 강서로 360, 1층 113~114호 (내발산동, 우장산동 솔레드림)",185643.5447,450612.3838
영업/정상,서울특별시 강서구 공항동 1356-10,"서울특별시 강서구 방화대로6길 33, 1층 (공항동)",183902.4102,450319.3509
영업/정상,서울특별시 강서구 방화동 886-0 스카이파크 (지하 1층),"서울특별시 강서구 하늘길 38, 지하 1층 (방화동, 2동 스카이파크)",182524.8238,451438.2509
영업/정상,서울특별시 강서구 화곡동 1086-26번지 ,"서울특별시 강서구 화곡로20길 42, 1층 (화곡동, 1동)",185485.3119,448495.1638
영업/정상,서울특별시 강서구 방화동 498-4번지 1층 ,"서울특별시 강서구 양천로 19, 1층 (방화동, 1동)",182794.4418,452295.4305
영업/정상,서울특별시 강서구 화곡동 914-1 105호,"서울특별시 강서구 강서로5나길 50, 1층 105호 (화곡동, 1동)",186290.981,447415.8635
영업/정상,서울특별시 강서구 화곡동 1098-17 ,"서울특별시 강서구 화곡로59길 17, 1층 (화곡동)",186694.6551,450220.8724
영업/정상,서울특별시 강서구 화곡동 836-2번지 (지상 1층) ,"서울특별시 강서구 곰달래로49길 15, 1층 (화곡동, 2동)",187346.8622,447799.8423
영업/정상,"서울특별시 강서구 화곡동 343-66번지 지하층,1동,화곡동오피스텔 B110호","서울특별시 강서구 곰달래로 123, 지하층 B110호 (화곡동, 1동,화곡동오피스텔)",186368.9372,447619.1602
영업/정상,서울특별시 강서구 마곡동 784-13 (지상1층),"서울특별시 강서구 강서로 423, 1층 110,111호 (마곡동, 가양1동 아르디에오피스텔)",185758,451264
영업/정상,서울특별시 강서구 마곡동 793-4 (지상1층),"서울특별시 강서구 강서로 409, 1층 111,112호 (마곡동, 가양1동 엘리안오피스텔)",185700.6357,451110.3447
영업/정상,서울특별시 강서구 마곡동 784-6번지 마곡대명투웨니퍼스트 (지상 1층) 112~113호,"서울특별시 강서구 강서로 443, 1층 112~113호 (마곡동, 가양 1동 마곡대명투웨니퍼스트)",185808,451450
영업/정상,서울특별시 강서구 화곡동 926-1 1층,"서울특별시 강서구 강서로7길 89, 1층 (화곡동, 1동)",186029.2134,447436.8571
